backlink,status_code,is_doFollow,is_exist,target_url,position,anchor_text,anchor_type,externalLinks,hasManyBacklinks,ip,countryCode,country,from_spam_heavy_country,rank,pagerank,backlink_rank,page_rank,domain_rank,AlexaTrafficRank,AlexaReach,AlexaRank,AlexaRankCountry,AlexaRankCountryCode,page_number,source_file,target_domain,source_domain,anchor_length,is_spam_country,is_active,has_good_anchor,Metric,Value
https://altamiroborges.blogspot.com/2014/02/diferencas-entre-venezuela-e-ucrania.html,200.0,True,True,https://cafenapolitica.com,body,A Segunda Guerra Fria,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,altamiroborges.blogspot.com,21,False,True,True,,
https://altamiroborges.blogspot.com/2014/02/diferencas-entre-venezuela-e-ucrania.html,200.0,True,True,https://cafenapolitica.com,body,Café na Política,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,altamiroborges.blogspot.com,16,False,True,True,,
https://portaldoscomuns.blogspot.com/2015/08/lula-para-chanceler-dilma-nao-pode.html,200.0,True,True,https://cafenapolitica.com,body,Café na Política,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,portaldoscomuns.blogspot.com,16,False,True,True,,
https://verborragio.blogspot.com/2013/09/,200.0,True,True,https://cafenapolitica.com,body,Leia meu artigo de 20/09/2011,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,29,False,True,True,,
https://verborragio.blogspot.com/2013/09/,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/develop/?p=7519,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,45,False,True,True,,
https://verborragio.blogspot.com/2013/09/,200.0,True,True,https://cafenapolitica.com,body,A,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,1,False,True,True,,
https://verborragio.blogspot.com/2013/11/,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/develop/?p=7668,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,45,False,True,True,,
https://verborragio.blogspot.com/2013/12/,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/develop/?p=7773,anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,45,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,vezes,anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,5,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Por Reynaldo Domingos Ferreira,anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,30,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Maïwenn (Melissa),anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,17,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Maïwenn e Emanuelle Bercot Produção – Alain Attal,anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,49,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Marina Foïs (Iris),anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,18,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Joey Stard (Fred),anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,17,False,True,True,,
https://verborragio.blogspot.com/2012/09/,200.0,True,True,https://cafenapolitica.com,body,Arnaud Bertrand e Dominique Boutonat Fotografia - Pierre Aïm Trilha Sonora – Stephen Warbeck Elenco – Karin Viard (Nadine),anchor,,False,,,,False,,,,,,,,,,,6.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,verborragio.blogspot.com,122,False,True,True,,
